ai.x.grok	ai.webp
com.Slack	slack.webp
com.abnamro.nl.mobile.payments	abn_amro.webp
com.android.chrome	google_chrome.webp
com.android.settings	settings.webp
com.android.vending	google_play_store.webp
com.csam.icici.bank.imobile	imobile_pay.webp
com.donnnno.arcticons	arcticons.webp
com.etoro.openbook	etoro.webp
com.garmin.android.apps.connectmobile	garmin_connect.webp
com.google.android.apps.authenticator2	google_authenticator.webp
com.google.android.apps.bard	google_gemini.webp
com.google.android.apps.docs.editors.sheets	google_sheets.webp
com.google.android.apps.maps	google_maps.webp
com.google.android.apps.messaging	google_messages.webp
com.google.android.apps.nbu.files	folder.webp
com.google.android.apps.photos	google_photos.webp
com.google.android.apps.translate	google_translate.webp
com.google.android.apps.walletnfcrel	google_pay.webp
com.google.android.calculator	calculator.webp
com.google.android.calendar	calendar_google_31.webp
com.google.android.contacts	google_contacts.webp
com.google.android.deskclock	clock.webp
com.google.android.dialer	google_phone.webp
com.google.android.gm	google_mail.webp
com.google.android.googlequicksearchbox	google.webp
com.google.android.youtube	youtube.webp
com.greenaddress.greenbits_android_wallet	green.webp
com.instagram.android	instagram.webp
com.netflix.mediaclient	netflix.webp
com.reddit.frontpage	reddit.webp
com.spotify.music	revanced_extended.webp
com.transferwise.android	wise.webp
com.twitter.android	twitter.webp
com.vincent_falzon.discreetlauncher	discreetlauncher.webp
com.whatsapp	whatsapp.webp
com.x8bit.bitwarden	bitwarden.webp
de.danoeh.antennapod	antennapod.webp
jp.co.sony.mc.cameraapp2	camera.webp
nl.nshispeed	ns.webp
nl.sportcity.android	letter_uppercase_square_s.webp
org.fdroid.fdroid	fdroid.webp
org.futo.inputmethod.latin	futo_keyboard.webp
org.mozilla.firefox	firefox.webp
org.thoughtcrime.securesms	signal.webp
org.thunderdog.challegram	telegram.webp
