ai.x.grok	grok.webp
com.Slack	slack.webp
com.android.chrome	chrome.webp
com.android.settings	settings.webp
com.android.vending	google_play_store.webp
com.csam.icici.bank.imobile	imobile_pay.webp
com.donnnno.arcticons	arcticons.webp
com.etoro.openbook	etoro.webp
com.garmin.android.apps.connectmobile	connect.webp
com.google.android.apps.authenticator2	google_authenticator.webp
com.google.android.apps.bard	bard.webp
com.google.android.apps.docs.editors.sheets	google_sheets.webp
com.google.android.apps.maps	google_maps.webp
com.google.android.apps.messaging	samsung_messages.webp
com.google.android.apps.nbu.files	google_files.webp
com.google.android.apps.photos	google_photos.webp
com.google.android.apps.translate	google_translate.webp
com.google.android.apps.walletnfcrel	google_wallet.webp
com.google.android.calculator	samsung_calculator.webp
com.google.android.calendar	google_calendar_31.webp
com.google.android.contacts	samsung_contacts.webp
com.google.android.deskclock	clock.webp
com.google.android.dialer	phone.webp
com.google.android.gm	gmail.webp
com.google.android.googlequicksearchbox	google.webp
com.google.android.youtube	youtube.webp
com.instagram.android	instagram.webp
com.netflix.mediaclient	netflix.webp
com.reddit.frontpage	reddit.webp
com.spotify.music	spotify.webp
com.transferwise.android	wise.webp
com.twitter.android	x.webp
com.vincent_falzon.discreetlauncher	discreet_launcher.webp
com.whatsapp	whatsapp.webp
com.x8bit.bitwarden	bitwarden.webp
de.danoeh.antennapod	antennapod.webp
nl.nshispeed	ns_international.webp
org.fdroid.fdroid	f_droid.webp
org.mozilla.firefox	firefox.webp
org.thoughtcrime.securesms	signal.webp
org.thunderdog.challegram	telegram_x.webp
